Numero autorizzazione,Scadenza,Richiedente,Posizione insegna,Tipo di mezzo pubblico
1145,13/12/2028,PUBLICITTÀ SPA,VIA M. D'ADEGLIO,N.2 CARTELLI
1146,,PUBBLIUNO SRL,VIA M. D'AZEGLIO,
1147,NEGATA,MAW SPA,"VIA L.MAZZERINI, 43",
1148,,DOMINO SRL,VIA M.DIAZEGLIO,
1149,,DOMINO SAL,VIA M.DIAZEGLIO,
1150,14/11/2028,ELECTRIC WORLD SRL,ROTATORIA N. 7 INTERSEZIONE VIA COLOMBO STRADA GALVANINA,ALLESTIMENTO PUBBLICITARIO
1151,22/08/2028,SERVIZI ENERGETICI DI RANGONI FEDERICA,"VIA GONZAGA, 16",INSEGNA
1152,20/04/2028,ARCHIMEDE SPA,"VIA A. COSTA, 5-7",VETROFANIE
1153,SOSPESA,B-PETROL SRL,,
1154,18/09/2028,B-PETROL SRL,"STRADA PROV NORD, 67",INSEGNE E GRAFICHE
1155,29/11/2028,LABIRINTO STP SRL,"VIA C. COLOMBO, 38/B",INSEGNA
1156,09/11/2028,PLASTIC GROUP SRL,"L. BANDINI, 3-5",INSEGNE E CARTELLI
1157,ANNUUATA,IPAS SPA,VIA M.D'AZEGLIO,CARTELLO
1158,03/12/2028,PIZZERIA AL BORGO SNC,"PIAZZETTA BORGONUOVO,",VETROFANIE
1159,26/01/2029,INNOVA 1872 SRL,"VIALE ROMA, 5",INSEGNA E VETROFANIE
1160,03/01/2029,AVIP ITALIA SRL,STRADA PROV. NORD,CARTELLO
1161,16/12/2028,AMAZON ITALIA TRANSPORTS SRL,"VIA C. COLOMBO , 40",ADESIVI
1162,03/01/2029,UNIPOL ASSICURAZIONI SPA,"VIALE ROMA, 28","VETROFA NIE INSEGNA, ECO..."
1163,20/01/2029,BPER BANCA SPA,"GAVERIA MAESTRI DEL LAVORO, 7-8","INSEGNE, VETROFANIA"
1164,27/01/2029,MELEGARI LUIGI E FIGLI,"VIA T.EDISON, 8",INSEGNA
1165,28/01/2029,PLASTICGROUP SRL,"VIA T. NUVOLARI, 21",INSEGNA
1166,ANNUUATA,GALLERIE COMMERCIALI BENNET SPA,STRADA PROV. NORD,INSEGNE MCDONALDS
1167,ANNUUATA,CRISTELLA PETROLI,TANGENZIAVE GAWANINA,
1168,10/05/2029,DOMINO SRL,VIA C. COLOMBO,CARTELLONE
1169,05/06/2029,DOMINO SRL,"STRADA PROV, NORD",CARTELLONE
1170,14/04/2029,GALLERIE COMMERCIALI SPA,"STRADA PROV, NORD",INSEGNE MC DONALD'S
1171,22/07/2028,VEGA CARBURANTI SPA,"VIA C. COLOMBO, 40",INSEGNE
1172,07/03/2029,LIDL ITALIA SPA,VIA M. POLO 2/8,INSEGNE e PORTA POSTER
1173,14/04/2029,LIDL ITALIA SPA,VIA M.POLO 2/B,N.2 NUOVE INSEGNE
1174,RIGETTTATO PER ROTONDA,MIRA PUBBLICITA,STRADA PROV. NORD,
1176,21/07/2029,AVIP ITALIA SRL,VIA C.COLOMBO,CARTELLONE
1177,15/05/2029,NOVATI SRL,VIA DELLA COSTITUZIONE 113,INSEGNE
1178,28/05/2029,MACELLERIA ZANETTI SNC,"VIA C.CAVOUR, 51",INSEGNE
